station_id,value,date,device_id,name,location
S117,31.3,2023-10-12,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,33.1,2023-10-12,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.0,2023-10-12,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.4,2023-10-12,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.6,2023-10-12,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.7,2023-10-12,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,33.2,2023-10-12,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,33.0,2023-10-12,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.5,2023-10-12,,,
S24,32.1,2023-10-12,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,31.5,2023-10-12,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,32.9,2023-10-12,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.9,2023-10-13,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.4,2023-10-13,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.1,2023-10-13,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.2,2023-10-13,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.9,2023-10-13,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,32.0,2023-10-13,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,33.3,2023-10-13,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,33.8,2023-10-13,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,30.9,2023-10-13,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.5,2023-10-13,,,
S24,32.4,2023-10-13,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,31.3,2023-10-13,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,33.8,2023-10-13,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.0,2023-10-14,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.1,2023-10-14,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,30.3,2023-10-14,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.1,2023-10-14,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,31.2,2023-10-14,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.6,2023-10-14,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.2,2023-10-14,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.0,2023-10-14,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,30.1,2023-10-14,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.1,2023-10-14,,,
S24,31.7,2023-10-14,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.3,2023-10-14,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.7,2023-10-14,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.4,2023-10-15,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.5,2023-10-15,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.0,2023-10-15,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.7,2023-10-15,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.8,2023-10-15,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.6,2023-10-15,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.0,2023-10-15,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.2,2023-10-15,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.0,2023-10-15,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,29.9,2023-10-15,,,
S24,32.2,2023-10-15,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,31.0,2023-10-15,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.8,2023-10-15,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.0,2023-10-16,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.2,2023-10-16,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.2,2023-10-16,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.3,2023-10-16,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.1,2023-10-16,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.5,2023-10-16,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.5,2023-10-16,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.2,2023-10-16,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,30.1,2023-10-16,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.1,2023-10-16,,,
S24,32.9,2023-10-16,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.1,2023-10-16,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,32.1,2023-10-16,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.0,2023-10-17,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,30.5,2023-10-17,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.2,2023-10-17,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.9,2023-10-17,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.9,2023-10-17,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,32.4,2023-10-17,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.9,2023-10-17,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,32.9,2023-10-17,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.9,2023-10-17,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.7,2023-10-17,,,
S24,32.3,2023-10-17,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.9,2023-10-17,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,32.1,2023-10-17,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,29.7,2023-10-18,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,28.1,2023-10-18,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,27.9,2023-10-18,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.2,2023-10-18,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,30.5,2023-10-18,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,29.5,2023-10-18,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,31.2,2023-10-18,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,30.1,2023-10-18,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,26.0,2023-10-18,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.0,2023-10-18,,,
S24,32.7,2023-10-18,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,27.4,2023-10-18,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,30.5,2023-10-18,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,31.2,2023-10-19,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,29.3,2023-10-19,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,32.3,2023-10-19,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,29.7,2023-10-19,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,31.8,2023-10-19,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.6,2023-10-19,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,31.2,2023-10-19,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,32.5,2023-10-19,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,29.8,2023-10-19,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.4,2023-10-19,,,
S24,32.0,2023-10-19,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,29.6,2023-10-19,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.4,2023-10-19,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.9,2023-10-20,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,30.0,2023-10-20,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.0,2023-10-20,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,29.4,2023-10-20,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,30.4,2023-10-20,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,30.1,2023-10-20,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.8,2023-10-20,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,30.0,2023-10-20,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,30.2,2023-10-20,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,29.6,2023-10-20,,,
S24,31.3,2023-10-20,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.0,2023-10-20,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.7,2023-10-20,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,30.0,2023-10-21,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.6,2023-10-21,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,30.7,2023-10-21,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,29.7,2023-10-21,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,31.5,2023-10-21,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,28.9,2023-10-21,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,29.9,2023-10-21,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,29.9,2023-10-21,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.3,2023-10-21,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,29.8,2023-10-21,,,
S24,30.7,2023-10-21,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,29.8,2023-10-21,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,30.3,2023-10-21,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.8,2023-10-22,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.1,2023-10-22,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,32.8,2023-10-22,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.3,2023-10-22,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.8,2023-10-22,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,30.8,2023-10-22,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.0,2023-10-22,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,32.4,2023-10-22,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.2,2023-10-22,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.2,2023-10-22,,,
S24,31.3,2023-10-22,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,31.0,2023-10-22,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.4,2023-10-22,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,31.3,2023-10-23,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
